Age,GENDER,MARITAL STATUS,NO. OF MEMBERS IN YOUR FAMILY ?,ARE YOU THE PRIMARY EARNER OF YOUR FAMILY ?,Relation with primary earner ?,WHAT IS YOUR HIGHEST EDUCATIONAL QUALIFICATION?,SKILL 1,RATING OF SKILL SET 1 (out of  10),HOW MANY YEARS HAVE YOU BEEN ASSOCIATED WITH SKILL 1 ?,SKILL 2,RATING OF SKILL SET 2 (out of  10),HOW MANY YEARS HAVE YOU BEEN ASSOCIATED WITH SKILL 2 ?,SKILL 3,RATING OF SKILL SET 3 (out of  10),HOW MANY YEARS HAVE YOU BEEN ASSOCIATED WITH SKILL 3 ?,DO YOU HAVE ANY CERTIFICATION OF THE ABOVE-MENTIONED SKILL SET?,"OWNERSHIP ( includes Land,machine)",MONTHLY FAMILY INCOME,MONTHLY FAMILY EXPENDITURE,target
33,M,Y,3,Y,None,HS,Agriculture,9,3,Business,8,6,Chicken Farming,9,20,No,Land,15000,8000,0
38,M,Y,4,Y,Wife,HSLC,Agriculture,9,5,Chicken farming,9,18,No skill,0,0,No,Land,16000,9000,0
69,F,Y,7,Y,None,BA,Agriculture,9,20,Beetlenut Plantation,9,8,No skill,0,0,No,"Land,machine",10000,9000,1
27,F,Y,5,Y,Son,HS,Agriculture,9,20,Fishery,8,4,Agriculture,4,15,No,Land,12000,8000,1
36,F,Y,5,Y,None,BA,Agriculture,9,12,Beetlenut Plantation,9,3,Bamboo plantation,9,1.5,No,"Land,pond",13000,12000,1
30,M,Y,3,Y,None,HSLC,Agriculture,7,3,Bamboo plantation,8,2,Business,9,1.5,No,Land,18000,10000,0
23,M,Y,4,Y,Husband,Class IV,Agriculture,9,4,Beetlenut Plantation,8,12,Fishery,8,3,Yes,Land,11000,28000,0
41,M,Y,4,Y,None,HSLC,Agriculture,9,20,Sericulture,8,5,e-rikshaw driver(owner),6,25,Yes,Land,15000,6000,1
40,F,Y,3,N,None,Class V,Agriculture,9,15,Vegetable Vendor,9,5,No skill,0,0,Yes,Land,18000,10000,0
36,M,Y,9,Y,Father,HS,Beetlenut Plantation,9,2,Rubber Plantation,9,12,Bamboo plantation,4,5,No,Land,18000,9000,0
67,M,Y,6,N,Father,BA,Folding hotel ,9,4,Agriculture,9,15,Contractor,9,1.5,No,Land,35000,8000,0
48,M,Y,5,N,Husband,BA,Agriculture,9,18,Business,9,7,No skill,0,0,No,Land,18000,9000,0
52,M,Y,4,Y,Father ,HSLC,Agriculture,9,12,Beetlenut Plantation,9,7,No skill,0,0,No,No ownership,45000,18000,1
34,M,Y,4,N,None,HSLC,Beetlenut Plantation,6,15,Fishery,8,5,Bamboo plantation,9,1.5,No,Land,12000,32000,0
47,M,Y,3,Y,None,PhD,Agriculture,9,25,Business,8,7,Chicken Farming,4,2,No,Land,15000,11000,1
72,F,Y,6,N,None,HS,Agriculture,7,10,No skill,0,0,Bamboo plantation,4,1.5,No,Land,15000,8000,0
64,F,Y,3,N,None,HS,Agriculture,9,20,Medical Plant,6,2,No skill,0,0,No,Land,18000,7000,0
50,M,N,3,Y,None,HS,Pig Farming,9,5,Beetlenut Plantation,9,12,No skill,0,0,No,Land,11000,7000,0
48,M,Y,4,N,Son,Class VII,Agriculture,9,20,Business,9,5,No skill,0,0,No,No ownership,18000,12000,0
64,M,N,4,N,None,BA,Agriculture,9,12,Bamboo plantation,8,8,Handicraft,7,1.5,No,Land,36000,5000,0
48,M,Y,4,N,None,HS,Agriculture,9,1,Beetlenut Plantation,7,12,Business,4,1.5,No,Land,55000,10000,0
54,M,Y,4,Y,None,HSLC,Agriculture,9,7,Dairy Farm,9,14,Business,9,10,No,Land,16000,35000,1
54,F,Y,5,Y,None,HSLC,Agriculture,9,15,Fishery,9,6,No skill,0,0,No,Land,11000,32000,1
41,M,Y,5,Y,None,HSLC,Beetlenut Plantation,9,5,Business,8,7,No skill,0,0,Yes,"Land,pond",26000,9000,0
40,M,Y,4,Y,None,HS,Agriculture,9,15,Fishery,8,15,No skill,0,0,No,Land,13000,8000,1
30,F,Y,3,Y,None,HS,Agriculture,9,4,Business,9,7,Fishery,9,6,Yes,Land,18000,10000,0
44,M,Y,6,N,Father,Class VI,Agriculture,9,30,Dairy Farm,7,2,No skill,0,0,No,Land,12000,9000,0
36,M,Y,4,Y,Father,HS,Folding hotel ,9,11,Bamboo plantation,6,7,Beetlenut Plantation,8,15,No,Land,42000,35000,1
45,F,Y,6,N,None,BA,Agriculture,8,18,Pig Farming,9,25,Handicraft,9,6,No,Land,36000,18000,0
38,M,Y,5,Y,None,HS,Pig Farming,9,35,Vegetable Vendor,6,18,No skill,0,0,No,Land,18000,9000,1
27,M,Y,4,Y,None,HSLC,Agriculture,9,9,Beetlenut Plantation,9,18,No skill,0,0,No,Land,16000,11000,1
64,M,Y,9,Y,Wife,HSLC,Agriculture,9,15,E-Rickshaw,8,12,No skill,0,0,No,Land,13000,6000,1
69,M,Y,4,Y,None,HSLC,Agriculture,7,7,Rubber Plantation,8,6,Business,9,1.5,No,Land,13000,10000,1
35,M,Y,3,N,Father,HSLC,Agriculture,9,8,Medical Plant,9,8,No skill,0,0,No,Land,125000,10000,0
47,F,Y,5,Y,None,HS,Agriculture,9,2,Medical Plant,9,7,No skill,0,0,Yes,Land,18000,18000,0
33,F,Y,5,N,None,BA,Agriculture,9,15,Business,9,4,Handicraft,4,1.5,No,Land,16000,10000,0
40,M,N,9,Y,Father ,HSLC,Agriculture,9,20,Beetlenut Plantation,8,8,No skill,0,0,No,Land,10000,8000,1
60,M,Y,4,Y,None,Class IX,Agriculture,9,15,Business,9,8,Referee trainee for football,9,2,No,Land,10000,8000,1
54,M,Y,4,Y,None,Class VII,Agriculture,9,3,Rubber Plantation,9,9,Handicraft,9,12,No,Land,30000,6000,0
40,M,N,4,Y,None,HS,Agriculture,9,8,Agriculture,8,7,No skill,0,0,No,Land,18000,12000,1
29,F,Y,3,Y,None,BA,Agriculture,9,15,Beetlenut Plantation,9,8,No skill,0,0,No,Land,20000,13000,1
30,M,Y,3,Y,None,HS,Agriculture,9,18,Rubber Plantation,9,2,Pig Farming,9,6,Yes,Land,20000,8000,1
52,F,Y,3,Y,Wife,HS,Business,9,12,Beetlenut Plantation,9,7,No skill,0,0,No,Land,11000,22000,1
38,M,Y,4,N,None,BA,Agriculture,9,12,Agriculture,5,8,No skill,0,0,No,Land,10000,13000,0
28,F,N,6,Y,None,HSLC,Agriculture,9,12,No skill,0,0,No skill,0,0,No,Land,15000,8000,1
40,M,Y,4,Y,None,HSLC,Agriculture,9,7,Beetlenut Plantation,8,4,No skill,0,0,No,Land,48000,10000,1
39,F,Y,9,N,None,HSLC,Agriculture,9,15,Rubber Plantation,9,5,No skill,0,0,No,Land,35000,12000,0
48,F,N,3,Y,None,HSLC,Agriculture,7,18,Pig Farming,8,12,Handicraft,8,3,No,Land,25000,10000,1
55,M,Y,3,Y,None,Class VI,Agriculture,9,19,Agriculture,6,6,No skill,0,0,No,Land,14500,11000,1
48,M,Y,4,N,None,HS,Agriculture,9,8,Rubber Plantation,9,3,Fishery,4,1.5,No,Land,12000,10000,0
32,F,Y,2,N,None,Class VII,Business,9,12,Business,9,6,Fishery,9,2,No,Land,28000,10000,0
38,F,Y,5,Y,Father,Class VII,Agriculture,8,25,Agriculture,8,9,No skill,0,0,No,Land,35000,8000,1
64,F,Y,3,Y,None,HSLC,Agriculture,9,25,Business,7,15,No skill,0,0,No,Land,10000,6000,1
68,M,Y,4,Y,Husband,HSLC,Sericulture,9,2,Business,6,9,No skill,0,0,No,Land,13000,9000,0
47,F,Y,3,Y,None,HSLC,Agriculture,9,30,Agriculture,9,5,Handicraft,9,12,No,Land,14000,11000,1
44,F,Y,4,N,None,Class VI,Agriculture,9,18,Bamboo plantation,9,12,No skill,0,0,No,No ownership,19000,10000,1
33,F,Y,5,Y,Father ,HSLC,Agriculture,9,7,Vegetable Vendor,9,15,No skill,0,0,No,Land,11000,10000,1
45,M,Y,4,Y,None,HS,Agriculture,9,30,Beetlenut Plantation,8,12,Business,4,12,No,"Land,pond",14000,18000,1
26,F,Y,3,N,None,BSc,Agriculture,9,20,Medical Plant,8,8,Fishery,8,25,Yes,Land,18000,8000,0
40,F,Y,5,Y,Son,HS,Agriculture,9,15,No skill,0,0,No skill,0,0,No,No ownership,10000,7000,1
29,F,N,4,N,Son,HS,Agriculture,9,20,Beetlenut Plantation,7,8,Agriculture,4,5,No,Land,125000,30000,0
27,F,Y,3,Y,None,HSLC,Agriculture,8,4,Handicraft,8,6,Horticulture,9,7,No,Land,20000,10000,0
29,F,Y,4,Y,Husband,Class V,Shop ,9,9,banana plantation,8,15,No skill,0,0,No,Land,10000,9000,1
43,M,Y,4,Y,None,HSLC,Agriculture,9,5,Rubber Plantation,8,15,No skill,0,0,Yes,Land,12000,10000,0
38,M,Y,4,Y,None,Class VI,Medical plant research,9,42,Business,9,8,Chicken Farming,9,6,No,Land,40000,8000,1
54,F,Y,5,Y,None,Class VIII,Agriculture,9,20,Business,8,3,No skill,0,0,No,Land,10000,10000,1
43,F,Y,3,Y,Husband,HSLC,Agriculture,8,5,Agriculture,8,6,No skill,0,0,Yes,Land,28000,8000,0
44,F,Y,5,N,None,HSLC,Pig Farming,9,15,Dairy Farm,8,7,Horticulture,9,2,No,Land,20000,6000,0
55,M,Y,4,N,Father ,Class III,Agriculture,9,18,Dairy Farm,8,10,Fishery,6,3,No,No ownership,48000,7000,0
38,F,Y,3,Y,Husband,HSLC,Agriculture,9,15,E-Rickshaw,8,7,No skill,0,0,Yes,Land,12000,9000,1
52,F,Y,4,Y,None,HSLC,Agriculture,8,21,Beetlenut Plantation,8,6,Beetlenut Plantation,9,12,No,Land,15000,28000,1
48,M,Y,4,Y,None,HSLC,Agriculture,8,15,Business,8,18,Chicken Farming,8,1.5,No,Land,18000,6000,1
27,M,Y,6,Y,None,BA,Agriculture,9,5,Beetlenut Plantation,9,7,No skill,0,0,No,Land,30000,30000,0
28,M,Y,8,Y,None,Class VIII,Agriculture,9,50,Medical Plant,463,2,No skill,0,0,No,Land,18000,7000,1
26,F,Y,4,Y,None,BSc,Agriculture,9,7,Vegetable Vendor,8,14,No skill,0,0,No,"Land,machine",11000,9000,1
68,M,Y,3,Y,Son,HSLC,Agriculture,9,12,No skill,0,0,Fishery,9,6,No,Land,12000,7000,1
32,M,Y,3,Y,None,Class v,Agriculture,9,15,No skill,0,0,No skill,0,0,No,Land,15000,10000,1
32,M,Y,4,Y,Husband,MSc,Agriculture,9,20,Beetlenut Plantation,8,4,Bamboo plantation,8,10,No,Land,10000,9000,1
70,M,Y,3,N,None,HSLC,Agriculture,9,18,Agriculture,9,14,No skill,0,0,No,Land,12000,8000,1
44,M,Y,4,Y,None,HSLC,Agriculture,9,20,Beetlenut Plantation,9,10,Beetlenut Plantation,9,3,No,Land,20000,8000,1
23,F,Y,4,Y,None,HSLC,Agriculture,9,11,banana plantation,7,7,No skill,0,0,No,"Land,pond",10000,9000,1
69,M,Y,4,N,Father ,Class VII,Agriculture,9,10,Business,6,8,No skill,0,0,No,No ownership,14000,20000,0
44,F,N,4,N,None,HS,Agriculture,9,5,Vegetable Vendor,9,4,No skill,0,0,No,Land,16000,6000,0
53,M,Y,4,N,None,HSLC,Agriculture,9,18,Business,8,8,Agriculture,9,20,Yes,Land,10000,9000,0
26,M,Y,5,Y,None,HS,Agriculture,9,35,Vegetable Vendor,8,15,Chicken Farming,6,2,No,"Land,pond, machines",16000,8000,1
43,M,Y,5,Y,None,Class VII,Agriculture,9,12,Beetlenut Plantation,8,12,Fishery,4,6,No,Land,16000,10000,1
29,M,Y,3,Y,None,Class VII,Agriculture,9,32,Agriculture,9,16,Beetlenut Plantation,8,1.5,No,Land,65000,7000,1
45,F,N,3,Y,None,HS,Agriculture,9,5,Rice Mill,9,18,No skill,0,0,No,Land,15000,6000,0
54,F,Y,3,Y,None,HS,Agriculture,9,20,Beetlenut Plantation,9,10,Store of traditional dresses,4,5,No,Land,20000,10000,1
40,M,Y,3,Y,None,HSLC,Beetlenut Plantation,9,3,Beetlenut Plantation,8,18,No skill,0,0,No,No ownership,35000,6000,0
33,M,Y,2,Y,None,HS,Agriculture,0,20,Lemon Cultivation,9,6,Handicraft,4,2,No,Land,11000,20000,0
40,M,Y,4,Y,Son,MSc,Agriculture,7,8,Fishery,9,15,No skill,0,0,No,Land,15000,15000,1
42,F,Y,5,N,Son,BA,Agriculture,9,3,Business,9,7,No skill,0,0,No,Land,30000,7000,0
39,M,Y,4,Y,None,Class VII,Pig Farming,9,18,Beetlenut Plantation,9,12,No skill,0,0,No,Land,15000,8000,1
48,F,Y,6,N,None,BA,Agriculture,9,5,Business,9,14,No skill,0,0,No,"Land,pond",56000,5000,0
66,M,Y,4,N,Husband,MCA,Agriculture,9,25,Fishery,9,8,No skill,0,0,No,Land,14000,12000,0
45,M,Y,3,Y,Father,MCA,Agriculture,8,1,Business,9,7,No skill,0,0,No,Land,35000,7000,0
40,M,Y,5,N,None,HSLC,Fishery,9,20,Bamboo plantation,8,5,Agriculture,4,3,No,Land,10000,9000,0
28,M,Y,3,N,None,Class v,Agriculture,7,25,Business,5,7,No skill,0,0,No,Land,10000,8000,0
29,M,Y,4,Y,Father,HS,Agriculture,7,8,Beetlenut Plantation,9,15,No skill,0,0,Yes,Land,15000,18000,1
40,M,Y,3,N,None,HS,Agriculture,9,1,Beetlenut Plantation,9,15,No skill,0,0,No,Land,12000,30000,0
54,M,Y,3,N,None,HS,Agriculture,0,5,Rubber Plantation,9,5,No skill,0,0,No,Land,18000,7000,0
54,M,Y,4,Y,None,HS,Agriculture,9,1,Business,9,15,No skill,0,0,No,Land,13000,9000,0
47,F,N,9,N,Wife,Class VII,Agriculture,9,2,Fishery,9,10,No skill,0,0,No,Land,16000,9000,0
54,M,Y,3,Y,Wife,HSLC,Agriculture,9,4,Agriculture,7,5,Chicken Farming,8,2,Yes,Land,11000,8000,0
44,M,Y,5,Y,Father,HSLC,Tea Plantation ,9,2,Beetlenut Plantation,8,4,No skill,0,0,No,Land,12000,18000,0
39,M,N,4,N,Son,HS,Agriculture,9,8,Agriculture,9,3,Pig Farming,8,5,No,Land,28000,6000,0
50,F,Y,4,N,None,HSLC,Agriculture,9,25,Business,8,12,Fishery,4,3,No,"Land,pond",19000,10000,0
37,M,Y,4,Y,None,HSLC,Agriculture,9,3,Beetlenut Plantation,9,5,No skill,0,0,Yes,Land,18000,18000,0
35,M,Y,3,Y,None,HSLC,Agriculture,7,21,Beetlenut Plantation,9,25,Store of traditional dresses,4,25,No,Land,20000,10000,1
39,M,Y,4,N,None,HSLC,Folding hotel ,6,18,Beetlenut Plantation,9,8,No skill,0,0,No,Land,13000,6000,0
64,M,Y,3,Y,Husband,HS,Agriculture,9,3,Beetlenut Plantation,9,4,Chicken Farming,4,5,No,Land,35000,7000,0
51,M,Y,5,Y,None,BA ,Agriculture,7,8,Pig Farming,8,3,shop,9,1.5,No,Land,16000,12000,0
38,F,Y,3,N,None,HSLC,Agriculture,9,12,Beetlenut Plantation,8,15,Business,4,9,No,Land,15000,5000,0
29,M,Y,2,Y,None,HS,Agriculture,6,5,Medical Plant,8,20,No skill,0,0,Yes,Land,26000,8000,0
41,F,Y,3,Y,None,HS,Agriculture,8,8,Bamboo plantation,8,15,No skill,0,0,No,Land,14500,15000,1
30,M,N,3,Y,None,MSc,Agriculture,9,1,Fishery,9,7,No skill,0,0,Yes,No ownership,11000,12000,0
50,F,Y,4,Y,Son,BA,Agriculture,9,7,Rice Mill,7,4,No skill,0,0,No,Land,14000,10000,1
44,M,Y,3,N,None,BA,Agriculture,8,13,Medical Plant,7,25,Chicken Farming,4,2,No,Land,28000,7000,0
43,M,Y,5,Y,Husband,HS,Agriculture,9,9,Agriculture,9,20,Contractor,8,1.5,Yes,"Land,pond",16000,12000,1
37,M,Y,6,Y,None,Class VII,Agriculture,9,15,E-Rickshaw,9,7,No skill,0,0,No,Land,28000,9000,1
42,F,Y,6,Y,Mother ,BA,Agriculture,9,2,Beetlenut Plantation,9,12,No skill,0,0,No,Land,12000,9000,0
38,M,Y,5,N,None,Class IV,Agriculture,9,20,Bamboo plantation,8,8,Beetlenut Plantation,8,10,No,Land,15000,12000,0
35,M,Y,5,Y,Father ,HSLC,Agriculture,9,12,Fishery,9,20,Contractor,7,3,No,Land,15000,8000,1
32,M,Y,5,Y,None,HS,Agriculture,7,10,Beetlenut Plantation,8,7,Fishery,8,5,No,Land,15000,30000,1
45,M,Y,2,N,None,HSLC,Agriculture,9,15,Vegetable Vendor,9,9,No skill,0,0,No,Land,14000,30000,1
44,M,Y,5,Y,Husband ,HS,Agriculture,8,5,Beetlenut Plantation,8,7,No skill,0,0,No,Land,20000,8000,0
27,F,Y,4,Y,None,Class VIII,Business,9,15,Bamboo plantation,6,4,Business,6,7,No,No ownership,20000,7000,1
38,M,Y,4,Y,None,BA,Agriculture,9,2,Agriculture,9,9,No skill,0,0,No,"Land,machine",16000,13000,0
27,M,Y,4,N,Father ,BA,Agriculture,9,4,Business,8,10,No skill,0,0,No,Land,15000,30000,0
49,M,Y,3,N,Father,HSLC,Agriculture,9,15,Business,9,8,No skill,0,0,No,Land,11000,9000,0
32,M,Y,2,Y,None,HS,Agriculture,9,15,Beetlenut Plantation,9,6,Beetlenut Plantation,4,9,No,No ownership,10000,5000,1
50,M,N,5,Y,None,HSLC,Agriculture,9,8,Fishery,9,12,Bamboo plantation,4,9,Yes,Land,15000,28000,1
42,M,N,6,Y,None,Class IX,Agriculture,7,15,Fishery,7,4,Horticulture,4,8,No,Land,16000,8000,1
67,M,Y,3,Y,Son,PhD,Business,9,20,Medical Plant,8,15,No skill,0,0,No,Land,11000,8000,1
37,M,Y,5,N,Husband,Class VIII,Agriculture,9,12,Pig Farming,6,5,Beetlenut Plantation,6,1.5,No,Land,15000,8000,0
29,M,Y,3,N,Son,BCom,Agriculture,9,2,Beetlenut Plantation,8,3,No skill,0,0,No,"Land,machine",18000,10000,0
39,M,Y,4,Y,None,MSc,Agriculture,9,11,No skill,0,0,No skill,0,0,No,"Land,pond",16000,30000,1
42,M,N,3,Y,None,BA ,Agriculture,9,32,small Business,8,7,Beetlenut Plantation,8,5,Yes,No ownership,14000,6000,1
50,M,Y,5,Y,None,HSLC,Agriculture,9,15,Agriculture,8,7,Chicken Farming,9,6,No,Land,11000,22000,1
54,M,Y,3,Y,None,HS,Agriculture,9,3,Business,8,10,No skill,0,0,Yes,"Land,machine",12000,11000,0
50,M,Y,7,Y,Father ,BA,Folding hotel ,9,4,Dairy Farm,8,4,Business,9,9,No,Land,25000,7000,0
36,M,Y,4,Y,Son,Class IX,Strawberry Cultivation,9,12,Business,7,3,Chicken Farming,9,12,No,Land,18000,25000,1
56,F,Y,3,N,None,HS,Agriculture,7,7,Business,9,6,No skill,0,0,No,Land,16000,8000,0
36,M,Y,5,Y,None,HSLC,Agriculture,9,3,E-Rickshaw,8,12,Fishery,4,1.5,No,Land,12000,8000,0
30,M,Y,3,Y,None,HSLC,Agriculture,9,25,Vegetable Vendor,7,6,Pig Farming,9,25,No,No ownership,15000,6000,1
28,M,Y,3,Y,None,BA,Beetlenut Plantation,7,20,Fishery,8,15,No skill,0,0,No,Land,10000,9000,1
27,F,Y,4,Y,Husband,HSLC,Agriculture,9,15,Beetlenut Plantation,9,6,No skill,0,0,No,Land,10000,9000,1
37,M,Y,2,N,None,HSLC,Agriculture,9,12,E-Rickshaw,9,16,Referee trainee for football,4,21,No,Land,18000,7000,1
48,M,Y,8,Y,None,HSLC,Agriculture,8,38,Beetlenut Plantation,9,15,Handicraft,6,5,No,"Land,machine",16000,8000,1
27,F,Y,3,Y,None,HS,Agriculture,8,5,Business,8,12,Chicken Farming,9,7,No,Land,12000,32000,0
41,F,Y,4,Y,None,HSLC,Agriculture,9,25,Business,9,15,No skill,0,0,No,Land ,30000,45000,1
40,F,Y,3,N,None,Class v,Agriculture,9,15,Beetlenut Plantation,9,4,Agriculture,4,6,No,Land,13000,5000,0
28,M,Y,7,Y,None,HSLC,Agriculture,9,7,Pig Farming,7,25,No skill,0,0,No,Land,20000,18000,1
29,M,Y,3,Y,None,HSLC,Agriculture,7,18,Bamboo plantation,6,6,No skill,0,0,No,Land,9000,35000,1
48,F,N,3,Y,Son,HS,Agriculture,8,8,Business,9,8,No skill,0,0,No,Land,14000,8000,1
54,F,Y,5,Y,None,Class v,Agriculture,9,15,Chicken farming,9,16,No skill,0,0,No,Land,10000,9000,1
40,M,N,4,N,None,HS,Agriculture,9,12,Fishery,9,10,No skill,0,0,No,Land,11000,8000,1
43,F,Y,4,Y,None,BA,Fishery,9,12,Beetlenut Plantation,6,15,Bamboo plantation,6,5,No,Land,26000,9000,1
38,M,Y,3,Y,None,HS,Agriculture,9,7,Agriculture,6,15,No skill,0,0,No,Land,12000,28000,1
44,M,Y,6,N,Father,BA ,Agriculture,7,5,Vegetable Vendor,9,15,Pig Farming,4,15,No,"Land,machine",15000,10000,0
40,M,N,4,Y,None,HSLC,Agriculture,9,7,Rice Mill,11.92857143,25,No skill,0,0,No,Land,12000,30000,0
34,M,Y,5,N,None,HS,Agriculture,9,30,Pig Farming,9,7,Fishery,9,25,No,Land,14000,32000,0
32,M,Y,4,N,None,HSLC,Agriculture,9,7,Dairy Farm,9,12,Horticulture,9,1.5,No,Land,48000,10000,0
37,M,Y,4,Y,None,BA,Agriculture,7,32,Beetlenut Plantation,7,7,Bamboo plantation,4,6,No,Land,11000,6000,1
39,M,Y,3,Y,None,HS,Agriculture,9,14,Business,8,5,Beetlenut Plantation,6,5,No,Land,11000,8000,1
44,M,Y,5,N,None,BA,Agriculture,9,7,Handicraft,8,8,No skill,0,0,No,Land,35000,40000,0
36,M,Y,4,Y,Wife,Class IV,Folding hotel ,9,42,Beetlenut Plantation,9,8,Business,9,3,No,Land,14000,20000,1
30,M,Y,6,Y,None,Class VIII,Pig Farming,9,32,Beetlenut Plantation,9,6,No skill,0,0,No,Land,10000,30000,1
40,M,Y,4,Y,None,HSLC,Agriculture,9,15,No skill,0,0,Handicraft,4,1.5,No,Land,11000,10000,1
64,M,Y,3,Y,None,HS,Agriculture,9,12,Business,6,8,Bamboo plantation,4,6,Yes,Land,10000,13000,1
39,M,Y,5,N,None,Class VIII,Agriculture,9,2,Beetlenut Plantation,9,8,Handicraft,8,1.5,Yes,Land,11000,9000,0
31,F,N,7,Y,None,BCom,Agriculture,9,32,small Business,9,3,No skill,0,0,No,Land,12000,7000,1
40,M,Y,3,N,None,HSLC,Pig Farming,9,20,Parmanent Labour,8,10,Agriculture,9,1.5,No,Land,9000,5000,0
48,M,Y,7,Y,None,HS,Agriculture,9,7,Vegetable Vendor,8,20,No skill,0,0,No,Land,18000,28000,1
27,F,Y,4,N,None,HSLC,Agriculture,8,21,Business,9,7,No skill,0,0,No,Land,12000,10000,0
31,M,Y,2,Y,Father,MSc,Agriculture,9,30,Agriculture,9,8,No skill,0,0,No,Land,18000,10000,1
38,M,Y,3,Y,Husband,HSLC,Agriculture,9,38,Business,7,8,Business,8,6,No,Land,10000,30000,1
48,M,Y,3,Y,None,MCA,Pig Farming,8,12,Pig Farming,9,8,No skill,0,0,No,Land,10000,28000,1
48,F,Y,3,N,Father,HSLC,Medical plant research,9,5,Bamboo plantation,7,4,Handicraft,6,10,No,No ownership,15000,9000,0
49,M,Y,2,Y,Husband,HSLC,Strawberry Cultivation,9,4,Business,9,4,No skill,0,0,No,Land,15000,9000,0
27,M,Y,4,Y,None,HSLC,Agriculture,9,28,Business,9,8,Contractor,4,1.5,No,Land,16000,10000,1
64,F,N,3,Y,Son,HSLC,Agriculture,9,5,Beetlenut Plantation,8,6,No skill,0,0,No,No ownership,20000,5000,0
33,M,Y,10,N,None,HSLC,Agriculture,9,20,Agriculture,8,12,No skill,0,0,No,Land,19000,6000,0
62,F,Y,5,Y,None,HS,Business,6,15,Folding Hotel ,7,25,Fishery,6,3,No,Land,15000,6000,0
45,M,Y,3,N,Father,HS,Agriculture,9,10,Vegetable Vendor,9,8,Beetlenut Plantation,4,1.5,No,"Land,vehicle",19000,10000,0
48,M,Y,4,Y,None,Class V,Agriculture,8,4,Agriculture,9,4,No skill,0,0,No,Land,18000,18000,0
39,F,Y,3,N,None,Class VII,Agriculture,9,15,Rubber Plantation,9,9,No skill,0,0,No,"Land,pond",18000,9000,1
24,M,Y,10,Y,Son,MCA,Agriculture,9,25,Beetlenut Plantation,8,2,Pig Farming,9,1.5,No,Land,12000,30000,1
45,M,Y,4,N,Husband,BA,Agriculture,8,1,Bamboo plantation,9,3,No skill,0,0,No,Land,18000,9000,0
70,M,N,3,Y,None,HSLC,Agriculture,7,22,Rubber Plantation,9,4,No skill,0,0,No,"Land,pond ",12000,12000,1
45,M,Y,3,Y,Son,Class VII,Agriculture,9,28,Bamboo plantation,9,7,No skill,0,0,No,Land,65000,32000,1
28,M,N,3,Y,None,BA,Medical plant research,9,9,E-Rickshaw,9,8,Pig Farming,8,10,No,Land,40000,8000,1
69,M,Y,3,Y,None,BA,Agriculture,9,25,Beetlenut Plantation,9,15,Agriculture,9,9,No,Land,16000,9000,1
27,F,N,4,Y,None,BA ,Agriculture,9,15,Beetlenut Plantation,9,7,No skill,0,0,No,Land,17000,8000,1
